S,O,2160
D, ,7165
 ,J,7559
S,Q,1852
Q,D,2075
R,Z,1833
Z,D,2231
D,W,2115
W,R,2223
R,G,1924
G,L,2375
Q,W,2167
N,Z,1856
V,S,1722
S,K,2019
K,G,2622
G,J,2329
R,J,1911
J,W,2204
M,J,1854
J,A,2033
A,B,1832
B, ,7249
H,R,1947
R,E,2054
U,H,1961
U,F,2108
F,P,2230
P,F,1962
F,B,2398
B,Z,1970
Z,R,2189
R,M,2085
M,G,1809
G,H,1877
 ,S,6925
O,E,2098
E,W,2165
W,W,1702
C,O,1832
F,Y,1937
Y,R,1886
N,Y,2251
G,I,1858
I,C,2040
C,Z,2170
Z,J,1814
U,B,2182
B,S,2097
Q,A,1965
A,E,2047
E,S,1941
F,M,2109
O,R,1724
R,C,2045
Q,P,2299
P,R,1932
R,L,1781
L,N,2213
N,Q,1898
Q,C,2115
C,J,1756
J,I,1959
I, ,6833
I,M,1849
M,K,1785
J,Q,1976
R,O,2235
J,U,1822
U,D,1803
Y,H,2250
T,L,1911
L,E,2018
E,Q,2109
Q,M,2276
M,Q,2325
R,H,1818
Y,Z,1590
I,Z,2106
H,W,2128
G,R,1709
E,B,1813
D,T,2107
U,Z,2230
K,Z,2030
A,I,1781
I,L,2115
T,X,1779
X,P,1969
S,Y,2049
Y,O,2143
R,P,1979
Y,X,1712
X,D,2002
R,D,1851
D,U,2199
M,H,2318
H,E,2281
A,A,2473
A,C,1782
B,M,1932
M,N,2555
B,C,1693
U,A,1955
Z,S,2121
S,I,2371
I,V,1794
V,R,2157
L,J,1946
I,X,2154
X,S,1875
A,V,2225
J,O,2050
F,J,2207
V,T,1799
T, ,6941
R,V,1765
E,F,1914
A,K,2020
M,M,2263
B,N,2034
N,D,2043
D,R,2169
F,H,1840
H,Z,1988
Z,F,2032
F,A,1929
C,G,1850
Y,T,2096
T,D,1950
D,B,2110
B,Q,2053
A,J,1782
I,E,2220
E,R,2098
T,I,1932
Q,R,2114
I,O,2113
S,V,2095
V,G,1933
X,J,2057
J,B,2298
E,Z,2283
Z,T,2121
Q,F,1897
O,X,2055
X,X,1730
X,G,2138
G,V,1812
H,S,1720
Q,K,2127
K,F,1916
V,X,1904
X,L,1882
L,B,2023
H,N,2205
E,I,2047
P,J,2228
J,P,2029
P,X,1852
X,K,1915
K,R,2211
R,Q,1891
P,Z,2022
Z,O,1918
E,X,1867
C,F,2108
J,N,2164
X,C,2155
I,B,1920
B,A,1873
S,N,1980
W,A,2027
A,T,2130
Z,G,2111
Y,I,2081
F,U,1696
S,R,2098
R,I,2339
X,E,1840
D,L,1960
L,V,2119
V,F,1913
P,N,2081
N,J,2355
J,M,2032
M,E,2072
J,L,1877
J,K,2021
K,E,1782
S,J,1754
J,V,2131
V,A,1968
H,P,2083
P,A,1831
J,Z,2128
V,O,1874
A,G,1721
G,M,2137
R,W,2071
N,N,2104
N,H,2002
N,S,1950
C,M,1750
E,C,2000
C,E,1890
N,B,2511
G,K,2040
K,N,1597
S,B,2045
W,L,2156
L,T,2203
X,T,1962
T,E,2079
E,M,2186
W,E,2277
S,T,2061
B,U,1847
U,O,2125
X,U,1919
U,P,1924
A,D,1534
P,G,1961
G,S,2245
T,A,1921
A,P,1936
P,U,1720
U,Y,1772
I,A,2343
L,I,1987
H,F,1704
F,V,2072
D,D,1750
Z,U,2265
W,J,2138
A,R,1846
L,G,2074
G,Q,2037
H,J,1829
L,Q,2130
Q,N,1593
E,N,1765
N,F,2088
C,L,2369
R,A,2111
A,F,2006
H,B,1965
B,W,1660
W,I,1986
Z,Y,2139
L,L,2029
P,M,1670
G,Z,2359
K,O,2029
N,K,1770
K,J,2046
J,Y,1678
R,Y,1914
H,Y,2171
Q,I,1852
A,O,1984
H,M,2152
M,X,2025
T,H,2169
Y,L,2140
Q,T,1889
Z,P,2088
E,L,2224
D,X,1861
G,E,1724
E,J,1757
S,D,1868
U,I,1925
I,J,2129
M,B,1854
Z,K,2386
K,T,2000
C,C,1805
C,H,1703
H,D,2429
D,N,1711
M,C,2040
C,A,2031
E,T,1937
T,P,1964
B,I,1939
F,R,2169
T,Q,2066
Q,S,1995
B,R,1979
B,P,2024
U,R,2254
B,L,2016
O,G,2256
G,C,2134
C,K,2072
K,P,1843
P,B,1931
H,A,1682
Z,C,1838
J,H,1888
Y,A,1909
U,M,2047
J,F,2189
S,P,1994
Y,B,2012
F,C,1828
Q,E,2130
O,I,2085
B,T,1995
J,X,1701
I,R,1891
B,E,2153
E,V,2177
F,Z,2002
L,Y,1659
 ,G,7306
C,Y,2166
O,O,2021
F,E,2011
R,R,1928
R,B,1799
V,N,2123
F,L,2095
O,J,1737
S,E,1946
O,M,2463
K,X,2120
L,R,1651
T,R,2016
P,H,2013
X,Y,2070
U,X,1885
Z,N,1877
N,I,1981
W,Z,2296
L,F,1854
Q,Z,2153
S,U,2154
T,V,2055
V,B,2376
D,C,2071
T,O,2092
W,N,2285
N,G,1851
P, ,7008
P,P,2131
M,W,2148
Y,P,2131
B,O,2312
O,S,2161
L,D,1970
D,S,2313
U,C,1991
C,I,2050
I,N,2054
M,I,2365
I,H,2148
V,Y,2190
O,Z,1975
N,V,2395
K,D,2021
Q,Q,1927
E,P,1828
C,P,2135
U,N,1920
M,L,2173
C,V,1879
P,C,2280
V,W,1898
M,F,2140
C,R,1872
U,G,2322
X,V,1717
I,I,2136
Y,E,1905
S,W,2056
D,I,2165
C,U,2133
T,S,2165
V,L,2098
N,T,1928
M,D,2107
O,K,2068
V,I,2127
T,G,1767
W,Y,2088
J,G,1937
G,X,2035
K,W,1847
E,U,2043
Z,M,2269
O,C,1901
Y,S,2083
I,U,1907
P,S,1865
V,K,1932
L,U,2117
O,V,2117
A,M,1704
W,H,1648
D,P,1904
P,O,1901
P,D,2033
Q,B,2109
W,D,1796
D,E,1933
Y,W,1882
W,V,2172
T,J,1879
W,S,2077
L,S,1875
R,T,2044
G,T,1863
Y,Y,2074
D,O,2075
M,R,2013
B,V,2067
Y,V,2030
A,L,1964
V,Z,1980
X,M,1868
D,H,1735
V,H,2252
E,D,1970
O,Q,1825
G,A,1739
S,G,2427
I,F,2026
F,O,1841
I,K,2046
O,U,2030
R,K,1974
J,T,2024
D,A,2164
