N,D,1969
R,Z,335
P,A,1300
W,G,1784
E,E,385
D,E,667
M,Y,215
D,M,896
I,I,653
S,Y,753
P,Y,493
M,I,1164
G,G,472
P,Z,476
O,V,883
X,V,604
W,Q,720
M,W,884
Q,A,151
L,O,1428
V,A,1715
V,M,349
M,B,319
A,X,1078
X,R,685
T,R,1833
U,M,811
B,Q,190
L,L,350
P,Q,632
I,Z,406
Z,X,946
H,C,746
B,X,819
M,Z,275
Z,M,255
G,C,509
N,B,1052
Y,I,939
A,T,726
Z,I,233
A,Q,248
M,G,116
Y,S,538
Z,K,351
K,Z,796
O,Z,576
Y,M,338
D,P,595
H,X,457
W,D,382
Y,Y,514
P,X,337
D,Q,303
Z,O,264
X,Q,214
B,C,818
Q,Q,367
C,Q,252
Q,X,407
L,R,849
Y,Z,122
C,E,640
A,Y,321
Q,E,239
W,A,1031
L,T,237
T,L,471
Z,Z,260
P,P,201
X,X,201
E,Q,378
Y,W,109
Q,B,316
C,P,739
L,Y,126
Q,N,530
Z,Y,106
Q,F,210
Q,K,121
L,C,220
K,P,103
X,A,110
S,Q,118
Z,W,103
T,Z,104
K,Q,103
Z,C,147
U,Q,184
X,O,111
